GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
LZTR1		1.8583400331936e-06	6.23167980533989e-05	0.152226774113757	UP
CEP350		8.90164934723334e-09	6.68516345545287e-07	0.151946128963443	UP
RBCK1		1.43763171158274e-05	0.000343312564889125	0.151863720644567	UP
ADAM19		4.69686811622106e-05	0.000927029731196457	0.151812470129025	UP
TEGT		4.57119862605077e-06	0.00013223614394523	0.151717923181998	UP
ADAR		4.65298908672727e-05	0.000919042042250945	0.151210595192557	UP
C19ORF6		5.01623194029178e-09	4.09876032782634e-07	0.151182499416516	UP
BRPF1		1.97208221902928e-06	6.52384155917158e-05	0.15114897641681	UP
TUBGCP2		3.01656156829906e-07	1.37613394996465e-05	0.151137232974573	UP
ZC3H3		4.17083735720311e-06	0.000122628076322304	0.151089217227431	UP
IQSEC1		1.90016572020722e-05	0.000434523901463163	0.150791797913405	UP
SNAPC4		5.3560176889599e-08	3.09215402381259e-06	0.150744564674381	UP
SLC16A5		2.08800280557478e-05	0.000470297774779463	0.150433361772965	UP
CTSS		0.0012144171631965	0.0134795805421741	0.150187766854607	UP
HS.193406		0.00583705055488243	0.0471882218921095	0.149756496896961	UP
EMILIN2		0.000121072303866938	0.00206205330673186	0.149706962844657	UP
LOC730953		4.90865423737736e-06	0.000139896645765255	0.149679030315186	UP
BCKDK		3.53846810254986e-05	0.000734416000868721	0.149595236126382	UP
SNORD13		0.000736320953479476	0.00895038287951314	0.149455540645549	UP
TALDO1		0.000155243516154178	0.00250780134154151	0.149402694233585	UP
SLC45A4		0.00127594510932392	0.0140525964430075	0.149362052983108	UP
IL17RA		0.00250971462218369	0.0242785848326855	0.149357192046825	UP
CTSB		0.00156340291582227	0.0165883140548935	0.149303170235411	UP
LTB4R		6.67596863113092e-06	0.000181077253786641	0.14925382057943	UP
BAT5		1.05064216027724e-09	1.07296830618314e-07	0.149123706104705	UP
DAPK2		1.08922479003691e-05	0.000271912866335047	0.149122813636241	UP
NSFL1C		2.40682695458926e-06	7.73426239841253e-05	0.14909329283706	UP
VCL		0.000121859206184455	0.00207152967083172	0.149064474867421	UP
RAB37		7.31826165556129e-08	4.06189941120187e-06	0.148850449304495	UP
HMHA1		4.32710531845405e-05	0.00086620853455525	0.148531703624291	UP
EFHD2		1.28061791598016e-05	0.000313309797030317	0.148475267942302	UP
MYH9		0.000830969143466017	0.00991532820103261	0.148393391461308	UP
SH3BP5L		9.24270033177148e-06	0.000237779049279476	0.14828703196808	UP
SULT1A3		6.02522053683412e-10	6.71264342535474e-08	0.148229734946742	UP
SYK		0.000145603042083646	0.00239220208264301	0.148066003291422	UP
F8A1		0.000154713077783193	0.00250373306729453	0.148058896209664	UP
FAM3A		1.04352844752378e-05	0.000262449351433663	0.147945732446981	UP
RENBP		0.000301156551267746	0.00435360953283094	0.147822070437584	UP
NFKBIA		0.000961876185952697	0.011149244991174	0.14781153502698	UP
RRP12		6.78676828971676e-05	0.00127867267546508	0.147786205985156	UP
RBM23		6.74275205549709e-06	0.000182521423863712	0.14768476928727	UP
HSPA1L		7.58293449337145e-07	2.95438579300271e-05	0.147604906769187	UP
GAA		2.51435248744794e-05	0.000550686087847961	0.147433548401111	UP
TNFSF13B		0.0033026223103429	0.030183728850561	0.147307123952721	UP
SLC44A2		0.00051731387914463	0.00671986382583666	0.14727241023353	UP
PILRA		0.00129553999177979	0.0142509399095777	0.147230269445132	UP
VIM		0.000383670788451708	0.00529654281999309	0.14711602506395	UP
SNORA70		3.64526407082565e-06	0.000109274488313958	0.147029907798213	UP
HLA-F		0.000198722044036987	0.00307562860463904	0.14699790035532	UP
SPATA20		0.000100048863096322	0.00176661206715412	0.146917328838121	UP
DCUN1D1		1.40979260172859e-09	1.37158307671679e-07	0.146903929234925	UP
MTMR3		2.10179730516892e-05	0.000472615155501745	0.146870574271947	UP
