GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
SGSM2		2.34125576707571e-09	1.01158007589949e-07	0.262273957065766	UP
ITGB7		1.20942948187085e-05	0.000143455469690805	0.262140771700714	UP
EHD1		1.90000884645972e-09	8.45315816986806e-08	0.262058425971381	UP
C9ORF164		1.239119638351e-07	2.75922553351753e-06	0.261391493064375	UP
SLC11A1		0.000147158231623895	0.00127042365764068	0.261208940584551	UP
RHOT2		2.53751513197671e-12	3.45524977137495e-10	0.260956195963773	UP
HS.347034		8.60654324717773e-07	1.46861400308328e-05	0.260523849134305	UP
CAPNS1		9.07657584326586e-11	6.42292811838034e-09	0.260276936476529	UP
LMF2		9.62485395156233e-13	1.67416572508434e-10	0.260031613577333	UP
NBEAL2		2.47263597555066e-06	3.69129227778634e-05	0.259857756178723	UP
TMEM8		3.00703592116846e-08	8.31514825339722e-07	0.259738693760427	UP
ULK1		9.23471641818801e-09	3.16980931273185e-07	0.258274312152285	UP
SNRP70		2.19016966497658e-10	1.38613061824962e-08	0.258166565763	UP
TSPAN32		3.4816275293714e-08	9.43869761902533e-07	0.256581959760119	UP
MAP3K11		9.31256364142712e-08	2.18707341756548e-06	0.256426975474431	UP
CLPTM1		9.90645658353094e-10	4.90069680639592e-08	0.256209079188192	UP
SF3A2		7.29145877277501e-09	2.60722838160195e-07	0.255480306910158	UP
APBB1IP		1.17959188414349e-07	2.66579855728354e-06	0.254025722862824	UP
TESC		0.00452653337644073	0.0233613833005778	0.253940600127706	UP
GPSN2		4.67043718506014e-07	8.67812935536915e-06	0.253761016742445	UP
MIDN		9.14083289482141e-08	2.15802097790963e-06	0.253650047448726	UP
SERTAD1		1.86814736998944e-10	1.21074810678571e-08	0.253609795607046	UP
IRF3		2.70509498455173e-06	3.97883610902887e-05	0.25345139230903	UP
FAM65A		4.87185822982393e-10	2.7307727595485e-08	0.2533246625248	UP
MXD4		5.41660269868001e-09	2.03111300916706e-07	0.252823474320945	UP
ITGA5		1.88408287308524e-06	2.89935835281114e-05	0.252629570483087	UP
HS.549989		3.46904323784658e-08	9.41881920801428e-07	0.252573868751279	UP
EXTL3		2.12074704343293e-07	4.41866004930411e-06	0.252498043669906	UP
PPM1F		1.02491107768e-05	0.000124583532756224	0.251776526801349	UP
ZNF324		7.13654845961122e-09	2.56203039972807e-07	0.251755516805986	UP
LOC728417		7.76854872610522e-07	1.35302223646333e-05	0.251013043055377	UP
CHD8		1.49946029587734e-07	3.24989192887071e-06	0.251010641824434	UP
FLJ42957		4.6190633704793e-07	8.60639720328213e-06	0.250811965117165	UP
PSCD4		5.12638203536382e-09	1.94665332472456e-07	0.250806746567255	UP
UBE2O		0.0010569019276112	0.00690289071471065	0.250724594819022	UP
